# http://www.thonky.com/qr-code-tutorial/alignment-pattern-locations
# Version Center Module Row and Column
QR Version 2    6   18                  
QR Version 3    6   22                  
QR Version 4    6   26                  
QR Version 5    6   30                  
QR Version 6    6   34                  
QR Version 7    6   22  38              
QR Version 8    6   24  42              
QR Version 9    6   26  46              
QR Version 10   6   28  50              
QR Version 11   6   30  54              
QR Version 12   6   32  58              
QR Version 13   6   34  62              
QR Version 14   6   26  46  66          
QR Version 15   6   26  48  70          
QR Version 16   6   26  50  74          
QR Version 17   6   30  54  78          
QR Version 18   6   30  56  82          
QR Version 19   6   30  58  86          
QR Version 20   6   34  62  90          
QR Version 21   6   28  50  72  94      
QR Version 22   6   26  50  74  98      
QR Version 23   6   30  54  78  102     
QR Version 24   6   28  54  80  106     
QR Version 25   6   32  58  84  110     
QR Version 26   6   30  58  86  114     
QR Version 27   6   34  62  90  118     
QR Version 28   6   26  50  74  98  122 
QR Version 29   6   30  54  78  102 126 
QR Version 30   6   26  52  78  104 130 
QR Version 31   6   30  56  82  108 134 
QR Version 32   6   34  60  86  112 138 
QR Version 33   6   30  58  86  114 142 
QR Version 34   6   34  62  90  118 146 
QR Version 35   6   30  54  78  102 126 150
QR Version 36   6   24  50  76  102 128 154
QR Version 37   6   28  54  80  106 132 158
QR Version 38   6   32  58  84  110 136 162
QR Version 39   6   26  54  82  110 138 166
QR Version 40   6   30  58  86  114 142 170
